UDI,ambient_temperature,load_density,humidity,vibration_level,power_consumption,maintenance_due,shift_Morning,shift_Night
1,298.1,0.428,53.682040923334924,1.551,663.8279999999999,0,True,False
2,298.2,0.46299999999999997,51.645604811570166,1.408,651.904,0,False,True
3,298.1,0.494,43.807695625143005,1.498,740.012,0,False,False
4,298.2,0.395,65.3633335050744,1.433,566.035,0,False,False
5,298.2,0.4,58.831208025431444,1.408,563.2,0,True,False
6,298.1,0.419,78.28504961620018,1.425,597.075,0,True,False
7,298.1,0.424,36.60547902410291,1.558,660.592,1,True,False
8,298.1,0.402,67.19339637775632,1.527,613.854,0,False,True
9,298.3,0.28600000000000003,73.14744392557806,1.667,476.76200000000006,0,False,False
10,298.5,0.28,72.97432845941535,1.741,487.48,0,False,False
11,298.4,0.239,79.30369835477626,1.782,425.89799999999997,0,True,False
12,298.6,0.44299999999999995,71.45168714147471,1.423,630.3889999999999,0,False,True
13,298.6,0.511,81.39050308238481,1.339,684.229,0,False,True
14,298.6,0.3,51.632829991044574,1.742,522.6,0,True,False
15,298.6,0.196,60.16047083757715,2.035,398.86,0,True,False
16,298.6,0.484,35.70398316414453,1.542,746.328,1,True,False
17,298.6,0.466,35.34787936516456,1.311,610.9259999999999,0,True,False
18,298.7,0.456,47.00633102257599,1.41,642.96,1,False,False
19,298.8,0.545,40.04035985695426,1.306,711.77,0,False,False
20,298.9,0.325,48.01056839678768,1.632,530.4,0,True,False
21,298.9,0.42700000000000005,43.85216472641987,1.375,587.1250000000001,0,False,False
22,298.8,0.44799999999999995,36.42600124193241,1.45,649.5999999999999,0,True,False
23,298.9,0.307,80.46520732030247,1.581,485.36699999999996,0,True,False
24,299.0,0.257,35.41115656944458,1.758,451.806,0,True,False
25,299.0,0.373,71.80410721685428,1.561,582.2529999999999,0,False,False
26,299.0,0.233,42.60739434597583,1.861,433.61300000000006,0,False,True
27,299.1,0.39,80.61148109998,1.512,589.68,0,True,False
28,299.1,0.24600000000000002,79.63979697949429,1.811,445.5060000000001,0,False,False
29,299.1,0.442,67.69505731846286,1.439,636.038,0,False,False
30,299.0,0.301,68.61170749003026,1.693,509.593,0,True,False
31,299.1,0.48200000000000004,35.266957098484426,1.339,645.398,0,False,False
32,299.0,0.255,84.2435783056801,1.798,458.49,0,True,False
33,299.0,0.483,78.89163017879072,1.419,685.377,0,True,False
34,298.9,0.325,79.7553112865046,1.665,541.125,0,False,True
35,298.8,0.34700000000000003,67.9622268525436,1.559,540.9730000000001,0,False,True
36,298.8,0.486,52.239346432726826,1.452,705.672,0,False,True
37,298.9,0.36700000000000005,79.68243245452405,1.581,580.2270000000001,0,True,False
38,298.8,0.392,49.57584640755962,1.439,564.0880000000001,0,True,False
39,298.9,0.507,63.13557716711014,1.379,699.153,1,False,False
40,298.8,0.525,39.98654861719412,1.35,708.75,0,False,False
41,298.8,0.45399999999999996,81.09778150663752,1.362,618.348,0,True,False
42,298.8,0.508,42.038522888560664,1.368,694.944,0,False,False
43,298.8,0.491,46.244840286520365,1.368,671.688,0,True,False
44,298.8,0.485,62.906707906410745,1.372,665.42,0,False,True
45,298.8,0.475,73.20465001064908,1.472,699.2,0,True,False
46,298.8,0.491,65.96756529681494,1.489,731.099,1,False,False
47,298.7,0.258,46.60669564000781,1.843,475.494,0,True,False
48,298.8,0.46299999999999997,35.04715212637451,1.418,656.534,0,False,False
49,298.8,0.539,72.85752901537197,1.425,768.075,0,False,False
50,298.9,0.441,84.26036629555469,1.412,622.692,1,True,False
51,298.9,0.046,75.49565601530452,2.861,131.606,0,False,True
52,298.9,0.5489999999999999,58.01033090783076,1.383,759.2669999999999,0,False,True
53,298.8,0.43799999999999994,80.18836306995533,1.497,655.6859999999999,0,False,True
54,298.7,0.35100000000000003,55.4923836559175,1.565,549.315,0,False,True
55,298.7,0.301,61.24670421217338,1.691,508.99100000000004,0,False,False
56,298.8,0.40700000000000003,58.85648836978416,1.512,615.384,1,False,True
57,298.8,0.424,57.38119363327625,1.477,626.2479999999999,0,True,False
58,298.8,0.40299999999999997,73.75953846469528,1.513,609.7389999999999,0,True,False
59,298.8,0.295,61.3384453634746,1.661,489.995,1,True,False
60,298.8,0.544,50.8358561012608,1.378,749.632,0,True,False
61,298.8,0.526,47.907908382923914,1.393,732.7180000000001,0,True,False
62,298.8,0.382,36.88736584837167,1.592,608.144,0,True,False
63,298.8,0.22899999999999998,64.1597580941523,1.829,418.841,0,False,True
64,298.9,0.259,46.49807077005171,1.812,469.30799999999994,0,True,False
65,299.0,0.386,42.406696100819154,1.523,587.878,1,True,False
66,299.0,0.451,67.69149819138389,1.394,628.694,0,False,False
67,298.9,0.287,69.06046289107744,1.679,481.87299999999993,0,True,False
68,298.8,0.441,72.6077446128833,1.466,646.506,0,False,True
69,298.8,0.324,60.17884481692957,1.527,494.74799999999993,0,True,False
70,298.9,0.657,79.70273026019433,1.41,926.37,0,False,True
71,298.9,0.226,81.81713766991139,1.924,434.824,0,False,True
72,298.9,0.455,75.36854698962446,1.452,660.66,0,True,False
73,298.9,0.444,66.77967410040935,1.369,607.836,0,True,False
74,299.0,0.35,50.18604767955944,1.592,557.2,0,False,True
75,298.9,0.32299999999999995,84.14724608101106,1.601,517.1229999999999,0,False,False
76,298.8,0.467,48.70680835959692,1.379,643.993,0,False,False
77,298.8,0.479,45.13284609952155,1.461,699.819,0,False,True
78,298.8,0.413,57.10770568932914,1.455,600.915,0,True,False
79,298.8,0.515,37.84202853561942,1.398,719.97,0,True,False
80,298.8,0.379,83.92472323358953,1.402,531.358,0,True,False
81,298.8,0.499,64.42167782082124,1.445,721.055,0,False,True
82,298.9,0.475,62.84760458320876,1.45,688.75,0,False,False
83,298.9,0.408,67.78981399498599,1.453,592.824,0,True,False
84,299.0,0.401,59.85118238886034,1.469,589.069,0,True,False
85,298.9,0.47600000000000003,36.60317585472708,1.422,676.872,0,True,False
86,299.0,0.268,65.61556444201983,1.804,483.47200000000004,0,True,False
87,299.0,0.439,70.80869384782153,1.436,630.404,0,False,False
88,299.0,0.318,55.83745303120266,1.544,490.992,0,False,False
89,299.0,0.452,72.86477860355964,1.419,641.388,0,False,True
90,298.9,0.395,46.35006496692103,1.487,587.365,0,False,False
91,298.9,0.258,46.063829553309205,1.753,452.274,0,True,False
92,298.9,0.249,43.0708493843787,1.83,455.67,0,False,False
93,298.9,0.271,53.59973798945809,1.727,468.01700000000005,0,False,True
94,299.1,0.43,77.35060176945419,1.45,623.5,0,False,False
95,299.0,0.319,76.39560310745321,1.622,517.418,0,False,True
96,299.0,0.522,54.14121039817519,1.351,705.222,0,False,False
97,299.0,0.353,64.45593679901182,1.575,555.9749999999999,0,False,False
98,298.9,0.299,71.04081582374579,1.75,523.25,0,False,False
99,298.9,0.327,47.060338731401146,1.529,499.983,1,True,False
100,298.8,0.444,43.40705429473735,1.523,676.212,0,True,False
101,298.8,0.25,83.60479966061556,1.852,463.0,1,True,False
102,298.8,0.207,65.87786566048092,1.991,412.13699999999994,0,False,False
103,298.8,0.406,84.0707860916832,1.555,631.33,0,True,False
104,298.8,0.405,51.88779935661145,1.441,583.605,0,False,False
105,298.8,0.434,70.15158499870657,1.45,629.3,0,False,True
106,298.8,0.311,46.13018182706189,1.591,494.80100000000004,0,True,False
107,298.8,0.485,48.060008563695646,1.445,700.825,1,False,False
108,298.8,0.46799999999999997,60.5951060634812,1.497,700.5959999999999,0,False,True
109,298.9,0.327,50.98090627540356,1.621,530.067,0,True,False
110,298.9,0.341,43.38107819202922,1.572,536.052,0,True,False
111,298.8,0.225,48.1440350994663,1.872,421.2,1,True,False
112,298.7,0.435,36.78741972329323,1.499,652.065,0,True,False
113,298.8,0.395,70.22118107387433,1.498,591.71,0,False,True
114,298.8,0.419,59.605832854293084,1.486,622.634,0,False,True
115,298.8,0.294,39.71215332022628,1.68,493.92,0,False,False
116,298.8,0.457,43.58469965642456,1.431,653.9670000000001,0,False,True
117,298.9,0.341,40.126726905632204,1.564,533.3240000000001,0,False,True
118,298.8,0.33,65.62964041379382,1.599,527.67,0,True,False
119,298.8,0.281,39.71051818062469,1.707,479.66700000000003,0,False,True
120,298.7,0.40700000000000003,72.7141166517608,1.467,597.069,0,False,False
121,298.9,0.447,36.02554596601956,1.433,640.551,0,False,True
122,298.9,0.41200000000000003,47.4687893997946,1.558,641.8960000000001,1,False,True
123,299.0,0.507,79.53333379459536,1.31,664.17,1,True,False
124,298.9,0.434,70.9265659061123,1.546,670.9639999999999,0,True,False
125,298.9,0.294,38.64841664628439,1.727,507.73799999999994,0,True,False
126,298.9,0.322,76.05630522425898,1.56,502.32000000000005,0,False,False
127,299.0,0.605,59.65175607701024,1.329,804.045,0,False,True
128,298.9,0.465,77.33915135844146,1.413,657.045,0,False,True
129,299.0,0.386,65.03698872251967,1.587,612.582,0,True,False
130,298.9,0.34299999999999997,69.09165160164294,1.559,534.737,0,False,False
131,298.8,0.41100000000000003,84.67507801978542,1.473,605.403,0,False,False
132,298.8,0.27699999999999997,46.61677729620091,1.737,481.149,0,True,False
133,298.7,0.43200000000000005,66.19727873806941,1.441,622.5120000000001,0,True,False
134,298.7,0.496,58.01606950286992,1.43,709.28,0,True,False
135,298.8,0.53,36.972597646134574,1.369,725.57,0,False,True
136,298.8,0.285,35.723532075143254,1.711,487.635,0,True,False
137,298.7,0.457,40.96142889089293,1.42,648.94,0,False,False
138,298.7,0.5529999999999999,67.45458702692741,1.297,717.2409999999999,0,False,False
139,298.8,0.494,63.358154395669615,1.449,715.8059999999999,0,True,False
140,298.8,0.5579999999999999,62.67147805818637,1.268,707.544,0,False,True
141,298.8,0.361,36.59283812641301,1.511,545.471,0,False,True
142,298.7,0.35200000000000004,58.465149818000356,1.544,543.488,0,True,False
143,298.6,0.282,81.23114089212643,1.778,501.39599999999996,0,False,False
144,298.6,0.505,54.87959346553233,1.407,710.535,0,True,False
145,298.6,0.424,66.24612348942281,1.391,589.784,0,True,False
146,298.5,0.336,73.99093378115717,1.513,508.36800000000005,0,True,False
147,298.5,0.361,74.19626395709437,1.612,581.932,1,False,False
148,298.4,0.401,60.96400411976357,1.515,607.515,0,False,False
149,298.3,0.48,77.89759727011682,1.379,661.92,0,True,False
150,298.4,0.39899999999999997,54.56890466818734,1.473,587.727,1,True,False
151,298.4,0.42700000000000005,79.43466073923992,1.422,607.194,0,False,True
152,298.4,0.376,47.011358319777266,1.463,550.0880000000001,0,True,False
153,298.4,0.41,49.01082034952855,1.584,649.44,0,True,False
154,298.4,0.27,37.65603120995006,1.85,499.5,0,False,False
155,298.4,0.36200000000000004,74.77909182711414,1.528,553.1360000000001,0,False,True
156,298.4,0.198,55.852761811635276,1.987,393.426,0,True,False
157,298.4,0.46,46.45583069556995,1.495,687.7,0,False,False
158,298.4,0.435,46.58951388082898,1.478,642.93,0,False,True
159,298.4,0.4,80.06999706146166,1.499,599.6,0,True,False
160,298.4,0.47,76.69583002305185,1.471,691.37,0,False,False
161,298.4,0.607,62.676544267859164,1.282,778.1740000000001,0,True,False
162,298.3,0.523,65.80554002078605,1.412,738.4759999999999,1,False,False
163,298.3,0.355,58.71627852751455,1.586,563.03,0,False,False
164,298.4,0.43799999999999994,54.583327143940444,1.468,642.9839999999999,0,False,False
165,298.5,0.436,80.77384406091657,1.44,627.84,0,True,False
166,298.5,0.26,41.2806351760151,1.733,450.58,0,False,True
167,298.4,0.326,55.9223394858114,1.612,525.5120000000001,0,True,False
168,298.4,0.429,52.228095399393766,1.458,625.482,0,True,False
169,298.4,0.623,59.907536012557415,1.433,892.7589999999999,0,True,False
170,298.4,0.591,57.88159372725875,1.318,778.938,0,False,False
171,298.4,0.35,60.944476582554074,1.61,563.5,1,False,False
172,298.2,0.508,41.9959488613497,1.462,742.6959999999999,0,True,False
173,298.1,0.20800000000000002,60.657075075663855,1.924,400.19200000000006,0,False,False
174,298.2,0.337,47.12094069436054,1.591,536.167,0,True,False
175,298.2,0.583,44.21656744940957,1.306,761.398,0,False,False
176,298.2,0.435,38.24171093930956,1.382,601.17,0,True,False
177,298.2,0.34700000000000003,73.13262793780704,1.618,561.446,1,False,False
178,298.2,0.214,56.372096042828,1.988,425.43199999999996,0,True,False
179,298.2,0.502,66.33218416558792,1.436,720.872,0,False,True
180,298.2,0.498,71.37966716523717,1.304,649.3919999999999,0,True,False
181,298.2,0.499,68.96583326567767,1.475,736.025,1,True,False
182,298.2,0.242,58.52503595448411,1.824,441.40799999999996,0,True,False
183,298.1,0.48100000000000004,54.39492644758649,1.342,645.5020000000001,1,False,True
184,298.1,0.40700000000000003,53.79799548203319,1.485,604.3950000000001,1,False,True
185,298.2,0.306,67.00243984650282,1.667,510.10200000000003,0,True,False
186,298.2,0.382,59.73971774709367,1.446,552.3720000000001,0,False,False
187,298.1,0.56,77.45661239942552,1.301,728.56,0,False,True
188,298.2,0.431,78.73509921633561,1.379,594.349,0,False,False
189,298.3,0.336,43.528018900325925,1.606,539.6160000000001,0,False,False
190,298.3,0.434,41.811682577286284,1.539,667.9259999999999,0,True,False
191,298.2,0.499,66.52004630179998,1.477,737.023,0,True,False
192,298.2,0.34600000000000003,50.06128740311397,1.666,576.436,0,False,True
193,298.2,0.518,35.928535938254946,1.398,724.164,0,False,True
194,298.2,0.34600000000000003,79.43213346814775,1.678,580.5880000000001,0,False,False
195,298.2,0.107,46.345038362190415,2.678,286.546,0,True,False
196,298.3,0.429,81.46403258429046,1.453,623.337,0,True,False
197,298.3,0.495,70.87172254391268,1.432,708.84,0,False,False
198,298.4,0.409,73.13267449557421,1.527,624.543,0,False,True
199,298.4,0.35,45.07307478965802,1.588,555.8,0,False,True
200,298.4,0.47100000000000003,46.70972128084065,1.433,674.943,1,False,True
201,298.4,0.35,61.06338769120329,1.609,563.15,0,False,False
202,298.3,0.41200000000000003,43.60499263249311,1.575,648.9000000000001,0,True,False
203,298.4,0.35700000000000004,50.271584634151615,1.636,584.052,0,True,False
204,298.4,0.379,51.073123897390225,1.49,564.71,0,False,True
205,298.4,0.32799999999999996,42.98149666263821,1.741,571.048,1,False,False
206,298.5,0.53,45.25914166975804,1.344,712.32,0,True,False
207,298.5,0.353,74.42759210041282,1.609,567.977,0,True,False
208,298.4,0.607,43.35979272736342,1.421,862.547,0,False,False
209,298.4,0.36700000000000005,36.42286959219612,1.591,583.897,0,True,False
210,298.4,0.44,66.46774713144691,1.477,649.88,0,True,False
211,298.4,0.361,83.79915596962249,1.523,549.803,0,False,False
212,298.5,0.33899999999999997,51.56069073115607,1.575,533.925,0,False,False
213,298.4,0.529,40.93278515981262,1.344,710.9759999999999,0,False,False
214,298.4,0.449,63.519366268376544,1.386,622.314,0,True,False
215,298.3,0.371,80.31771055478231,1.589,589.519,0,False,False
216,298.3,0.40299999999999997,74.20308899142394,1.548,623.8439999999999,0,True,False
217,298.3,0.38299999999999995,66.1257934206358,1.499,574.117,0,True,False
218,298.3,0.316,50.75282483037997,1.664,525.8240000000001,0,False,False
219,298.3,0.381,62.094008663810996,1.447,551.307,0,False,False
220,298.3,0.462,39.56224206521277,1.434,662.508,1,False,True
221,298.3,0.527,68.94727121403349,1.416,746.232,0,False,False
222,298.4,0.243,71.25480094488253,1.827,443.961,1,False,False
223,298.4,0.45,83.25158114549595,1.304,586.8,0,True,False
224,298.4,0.344,48.01986793725358,1.569,539.736,0,True,False
225,298.3,0.293,35.922820952151135,1.584,464.112,0,True,False
226,298.3,0.5379999999999999,62.28042322135753,1.362,732.7559999999999,0,True,False
227,298.3,0.49200000000000005,70.33952521984072,1.329,653.868,0,False,True
228,298.3,0.361,74.5203737941494,1.539,555.5790000000001,0,True,False
229,298.3,0.371,44.68694665124053,1.629,604.359,0,False,True
230,298.3,0.322,48.08764345185118,1.538,495.23600000000005,1,False,False
231,298.3,0.348,60.629546263364816,1.57,546.3599999999999,0,False,True
232,298.3,0.431,51.53004049850009,1.408,606.8480000000001,0,False,False
233,298.2,0.47600000000000003,78.02557432937226,1.424,677.8240000000001,0,False,False
234,298.2,0.349,58.68800768693602,1.512,527.688,0,False,False
235,298.2,0.429,74.97893220510015,1.478,634.062,0,True,False
236,298.1,0.337,64.03098802411769,1.68,566.1600000000001,0,False,False
237,298.1,0.387,73.65450708085561,1.495,578.565,0,True,False
238,298.0,0.366,51.63364932651619,1.552,568.032,1,True,False
239,297.9,0.503,76.57083109651556,1.393,700.679,0,False,False
