UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,Tool_wear_min_rolling_mean,Tool_wear_min_rolling_std,Tool_wear_min_rolling_min,Tool_wear_min_rolling_max,Tool_wear_min_change,temperature_difference,power_consumption,load_signal,tool_wear_change,ambient_temperature,load_density,humidity,vibration_level,maintenance_due,shift_Morning,shift_Night
1,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,298.1,298.1,0.0,308.6,0.0,308.6,308.6,0.0,1551.0,0.0,1551.0,1551.0,0.0,42.8,0.0,42.8,42.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,6951.59056015735,66382.79999999999,0.0,298.1,0.428,53.68204092333493,1.551,0,True,False
2,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.0707106781186507,298.1,298.2,0.0999999999999659,308.65,0.0707106781186507,308.6,308.7,0.0999999999999659,1479.5,101.1162697096763,1408.0,1551.0,-143.0,44.55,2.4748737341529163,42.8,46.3,3.5,1.5,2.1213203435596424,0.0,3.0,3.0,10.5,6826.722724152667,65190.4,3.0,298.2,0.4629999999999999,51.645604811570166,1.408,0,False,True
3,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.0577350269189469,298.1,298.2,-0.0999999999999659,308.6,0.0999999999999801,308.5,308.7,-0.1999999999999886,1485.6666666666667,72.29338374521788,1408.0,1551.0,90.0,46.16666666666666,3.302019584032375,42.8,49.4,3.1000000000000014,2.6666666666666665,2.516611478423583,0.0,5.0,2.0,10.399999999999975,7749.387542560967,74001.2,2.0,298.1,0.494,43.807695625143005,1.498,0,False,False
4,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.0577350269189538,298.1,298.2,0.0999999999999659,308.6,0.0816496580927563,308.5,308.7,0.1000000000000227,1472.5,64.63487190879755,1408.0,1551.0,-65.0,44.5,4.287190222045203,39.5,49.4,-9.9,3.75,2.9860788111948198,0.0,7.0,2.0,10.400000000000034,5927.504658915661,56603.5,2.0,298.2,0.395,65.3633335050744,1.433,0,False,False
5,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.16,0.054772255750513,298.1,298.2,0.0,308.62,0.0836660026534045,308.5,308.7,0.0999999999999659,1459.6,62.970628073729735,1408.0,1551.0,-25.0,43.6,4.223150482755735,39.5,49.4,0.5,4.8,3.492849839314596,0.0,9.0,2.0,10.5,5897.816608339238,56320.0,2.0,298.2,0.4,58.83120802543144,1.408,0,True,False
6,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.0547722557505038,298.1,298.2,-0.0999999999999659,308.6166666666667,0.0752772652709018,308.5,308.7,-0.0999999999999659,1453.8333333333333,58.06691542235273,1408.0,1551.0,17.0,43.31666666666666,3.840529477385465,39.5,49.4,1.8999999999999984,5.833333333333333,4.02077936060494,0.0,11.0,2.0,10.5,6252.554778807085,59707.5,2.0,298.1,0.419,78.28504961620018,1.425,0,True,False
7,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.1428571428572,0.0534522483824666,298.1,298.2,0.0,308.61428571428576,0.0690065559342277,308.5,308.7,0.0,1468.7142857142858,66.02957490325653,1408.0,1558.0,133.0,43.18571428571429,3.5229857466967665,39.5,49.4,0.5,7.0,4.795831523312719,0.0,14.0,3.0,10.5,6917.703247400628,66059.2,3.0,298.1,0.424,36.60547902410291,1.558,1,True,False
8,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.0517549169506555,298.1,298.2,0.0,308.6125,0.0640869944461577,308.5,308.7,0.0,1476.0,64.51135005341534,1408.0,1558.0,-31.0,42.8125,3.42821798773482,39.5,49.4,-2.199999999999996,8.125,5.462534733462636,0.0,16.0,2.0,10.5,6428.264055922363,61385.4,2.0,298.1,0.402,67.19339637775632,1.527,0,False,True
9,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.1555555555556,0.0726483157256677,298.1,298.3,0.1999999999999886,308.6222222222222,0.0666666666666588,308.5,308.7,0.0999999999999659,1497.2222222222222,87.720832442724,1408.0,1667.0,140.0,41.23333333333333,5.720795399243013,28.6,49.4,-11.6,9.22222222222222,6.078194176270157,0.0,18.0,2.0,10.399999999999975,4992.639989035923,47676.2,2.0,298.3,0.286,73.14744392557806,1.667,0,False,False
10,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,298.1,298.5,0.1999999999999886,308.66,0.1349897115421144,308.5,309.0,0.3000000000000113,1521.6,113.06065235576496,1408.0,1741.0,74.0,39.91,6.826655273427996,28.0,49.4,-0.6000000000000014,10.4,6.834552736727628,0.0,21.0,3.0,10.5,5104.878622573175,48748.0,3.0,298.5,0.28,72.97432845941535,1.741,0,False,False
11,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.1398411797560165,298.1,298.5,-0.1000000000000227,308.69,0.1523883926755097,308.5,309.0,-0.1000000000000227,1544.7,140.10000396542162,1408.0,1782.0,41.0,38.02,8.377721779948432,23.9,49.4,-4.100000000000001,12.8,6.988880056521535,3.0,24.0,3.0,10.5,4459.993426595286,42589.8,3.0,298.4,0.239,79.30369835477626,1.782,0,True,False
12,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,298.1,298.6,0.2000000000000454,308.73,0.2002775851440285,308.5,309.1,0.2000000000000454,1546.2,138.5454598478221,1408.0,1782.0,-359.0,37.82,8.179622376505062,23.9,49.4,20.4,15.4,7.734482673212361,5.0,29.0,5.0,10.5,6601.41817101272,63038.9,5.0,298.6,0.4429999999999999,71.45168714147471,1.423,0,False,True
13,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.2024845673132014,298.1,298.6,0.0,308.79,0.2131770260709857,308.6,309.1,0.0,1530.3,153.0555817705161,1339.0,1782.0,-84.0,37.99,8.459898869897264,23.9,51.1,6.800000000000004,18.3,8.769264507357503,7.0,34.0,5.0,10.5,7165.22933257697,68422.90000000001,5.0,298.6,0.511,81.39050308238481,1.339,0,False,True
14,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,298.1,298.6,0.0,308.85,0.2368778400592765,308.6,309.2,0.0999999999999659,1561.2,162.15068437858804,1339.0,1782.0,403.0,37.04,8.798131114680618,23.9,51.1,-21.1,21.3,9.569047322835576,9.0,37.0,3.0,10.599999999999966,5472.65440255342,52260.0,3.0,298.6,0.3,51.632829991044574,1.742,0,True,False
15,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.2233582075700818,298.1,298.6,0.0,308.9,0.2538591035288872,308.6,309.2,0.0,1623.9,210.3803169922933,1339.0,2035.0,293.0,35.0,10.276402310363514,19.6,51.1,-10.4,24.4,10.145606602531627,11.0,40.0,3.0,10.599999999999966,4176.852152702751,39886.0,3.0,298.6,0.196,60.16047083757715,2.035,0,True,False
16,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.2065591117978258,298.1,298.6,0.0,308.96,0.2458545188612628,308.6,309.2,0.0,1635.6,201.1401943366313,1339.0,2035.0,-493.0,35.65,10.94514098178325,19.6,51.1,28.8,27.5,10.33064481154116,14.0,42.0,2.0,10.599999999999966,7815.528539894543,74632.8,2.0,298.6,0.484,35.70398316414453,1.542,1,True,False
17,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.1728840330653417,298.1,298.6,0.0,309.02,0.2201009869230887,308.6,309.2,0.0,1610.9,225.4277169195385,1311.0,2035.0,-231.0,36.07,11.30752453506563,19.6,51.1,-1.7999999999999972,30.5,10.33064481154116,16.0,44.0,2.0,10.599999999999966,6397.602111623327,61092.6,2.0,298.6,0.466,35.34787936516456,1.311,0,True,False
18,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.1178511301979952,298.3,298.7,0.0999999999999659,309.08000000000004,0.1686548085425958,308.7,309.2,0.0,1599.2,233.16937096358865,1311.0,2035.0,99.0,36.61,11.650412486736734,19.6,51.1,-1.0,33.6,10.145606602531632,18.0,47.0,3.0,10.5,6733.061375173645,64296.0,3.0,298.7,0.456,47.00633102257599,1.41,1,False,False
