UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,Tool_wear_min_rolling_mean,Tool_wear_min_rolling_std,Tool_wear_min_rolling_min,Tool_wear_min_rolling_max,Tool_wear_min_change,temperature_difference,power_consumption,load_signal,tool_wear_change
1,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,298.1,298.1,0.0,308.6,0.0,308.6,308.6,0.0,1551.0,0.0,1551.0,1551.0,0.0,42.8,0.0,42.8,42.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,6951.59056015735,66382.79999999999,0.0
2,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.07071067811865074,298.1,298.2,0.0999999999999659,308.65,0.07071067811865074,308.6,308.7,0.0999999999999659,1479.5,101.1162697096763,1408.0,1551.0,-143.0,44.55,2.4748737341529163,42.8,46.3,3.5,1.5,2.1213203435596424,0.0,3.0,3.0,10.5,6826.722724152667,65190.399999999994,3.0
3,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.05773502691894699,298.1,298.2,-0.0999999999999659,308.59999999999997,0.0999999999999801,308.5,308.7,-0.19999999999998863,1485.6666666666667,72.29338374521788,1408.0,1551.0,90.0,46.166666666666664,3.302019584032375,42.8,49.4,3.1000000000000014,2.6666666666666665,2.516611478423583,0.0,5.0,2.0,10.399999999999977,7749.387542560967,74001.2,2.0
4,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.057735026918953825,298.1,298.2,0.0999999999999659,308.6,0.08164965809275636,308.5,308.7,0.10000000000002274,1472.5,64.63487190879755,1408.0,1551.0,-65.0,44.5,4.287190222045203,39.5,49.4,-9.899999999999999,3.75,2.9860788111948193,0.0,7.0,2.0,10.400000000000034,5927.504658915661,56603.5,2.0
5,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,298.1,298.2,0.0,308.62,0.0836660026534045,308.5,308.7,0.0999999999999659,1459.6,62.970628073729735,1408.0,1551.0,-25.0,43.6,4.223150482755735,39.5,49.4,0.5,4.8,3.492849839314596,0.0,9.0,2.0,10.5,5897.816608339238,56320.0,2.0
6,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.05477225575050381,298.1,298.2,-0.0999999999999659,308.6166666666667,0.07527726527090181,308.5,308.7,-0.0999999999999659,1453.8333333333333,58.06691542235273,1408.0,1551.0,17.0,43.31666666666666,3.8405294773854646,39.5,49.4,1.8999999999999986,5.833333333333333,4.02077936060494,0.0,11.0,2.0,10.5,6252.554778807085,59707.5,2.0
7,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14285714285717,0.05345224838246661,298.1,298.2,0.0,308.61428571428576,0.0690065559342277,308.5,308.7,0.0,1468.7142857142858,66.02957490325653,1408.0,1558.0,133.0,43.18571428571429,3.5229857466967665,39.5,49.4,0.5,7.0,4.795831523312719,0.0,14.0,3.0,10.5,6917.703247400628,66059.2,3.0
8,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.05175491695065552,298.1,298.2,0.0,308.6125,0.06408699444615774,308.5,308.7,0.0,1476.0,64.51135005341534,1408.0,1558.0,-31.0,42.8125,3.42821798773482,39.5,49.4,-2.1999999999999957,8.125,5.462534733462636,0.0,16.0,2.0,10.5,6428.264055922363,61385.4,2.0
9,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.15555555555557,0.07264831572566778,298.1,298.3,0.19999999999998863,308.6222222222222,0.06666666666665884,308.5,308.7,0.0999999999999659,1497.2222222222222,87.720832442724,1408.0,1667.0,140.0,41.233333333333334,5.720795399243013,28.6,49.4,-11.600000000000001,9.222222222222221,6.078194176270157,0.0,18.0,2.0,10.399999999999977,4992.639989035923,47676.200000000004,2.0
10,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,298.1,298.5,0.19999999999998863,308.65999999999997,0.1349897115421144,308.5,309.0,0.30000000000001137,1521.6,113.06065235576496,1408.0,1741.0,74.0,39.910000000000004,6.826655273427996,28.0,49.4,-0.6000000000000014,10.4,6.834552736727628,0.0,21.0,3.0,10.5,5104.878622573175,48748.0,3.0
11,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.13984117975601654,298.1,298.5,-0.10000000000002274,308.69,0.15238839267550974,308.5,309.0,-0.10000000000002274,1544.7,140.10000396542162,1408.0,1782.0,41.0,38.019999999999996,8.377721779948432,23.9,49.4,-4.100000000000001,12.8,6.988880056521535,3.0,24.0,3.0,10.5,4459.993426595286,42589.799999999996,3.0
12,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,298.1,298.6,0.20000000000004547,308.72999999999996,0.20027758514402857,308.5,309.1,0.20000000000004547,1546.2,138.5454598478221,1408.0,1782.0,-359.0,37.82,8.179622376505062,23.9,49.4,20.4,15.4,7.734482673212361,5.0,29.0,5.0,10.5,6601.4181710127195,63038.899999999994,5.0
13,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.20248456731320144,298.1,298.6,0.0,308.79,0.2131770260709857,308.6,309.1,0.0,1530.3,153.0555817705161,1339.0,1782.0,-84.0,37.989999999999995,8.459898869897264,23.9,51.1,6.800000000000004,18.3,8.769264507357503,7.0,34.0,5.0,10.5,7165.22933257697,68422.90000000001,5.0
14,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,298.1,298.6,0.0,308.85,0.23687784005927653,308.6,309.2,0.0999999999999659,1561.2,162.15068437858804,1339.0,1782.0,403.0,37.04,8.798131114680618,23.9,51.1,-21.1,21.3,9.569047322835575,9.0,37.0,3.0,10.599999999999966,5472.6544025534195,52260.0,3.0
15,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.22335820757008182,298.1,298.6,0.0,308.9,0.2538591035288872,308.6,309.2,0.0,1623.9,210.3803169922933,1339.0,2035.0,293.0,35.0,10.276402310363514,19.6,51.1,-10.399999999999999,24.4,10.145606602531629,11.0,40.0,3.0,10.599999999999966,4176.852152702751,39886.0,3.0
16,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.20655911179782582,298.1,298.6,0.0,308.96,0.24585451886126286,308.6,309.2,0.0,1635.6,201.14019433663134,1339.0,2035.0,-493.0,35.65,10.94514098178325,19.6,51.1,28.799999999999997,27.5,10.330644811541159,14.0,42.0,2.0,10.599999999999966,7815.528539894543,74632.8,2.0
17,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.17288403306534178,298.1,298.6,0.0,309.02,0.22010098692308874,308.6,309.2,0.0,1610.9,225.42771691953854,1311.0,2035.0,-231.0,36.07,11.30752453506563,19.6,51.1,-1.7999999999999972,30.5,10.33064481154116,16.0,44.0,2.0,10.599999999999966,6397.602111623327,61092.6,2.0
18,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.11785113019799526,298.3,298.7,0.0999999999999659,309.08000000000004,0.16865480854259585,308.7,309.2,0.0,1599.2,233.16937096358862,1311.0,2035.0,99.0,36.61,11.650412486736734,19.6,51.1,-1.0,33.6,10.145606602531632,18.0,47.0,3.0,10.5,6733.061375173645,64296.0,3.0
19,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.10540925533923995,298.4,298.8,0.10000000000002274,309.13,0.10593499054767433,308.9,309.2,0.0,1563.1,248.9196434371722,1306.0,2035.0,-104.0,39.2,12.51843085658547,19.6,54.5,8.899999999999999,36.8,9.715966241192904,21.0,50.0,3.0,10.399999999999977,7453.6380101520235,71177.0,3.0
20,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.13498971154234193,298.4,298.9,0.0999999999999659,309.16,0.10749676997789263,308.9,309.3,0.10000000000002274,1552.2,242.56948603555975,1306.0,2035.0,326.0,39.65,12.146444381427479,19.6,54.5,-22.0,40.2,9.51957048517539,24.0,55.0,5.0,10.400000000000034,5554.3358115467545,53040.0,5.0
21,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.12866839377104017,298.6,298.9,0.0,309.2,0.06666666666767808,309.1,309.3,0.0,1511.5,233.71076616669222,1306.0,2035.0,-257.0,41.53,10.82035633013586,19.6,54.5,10.200000000000003,43.6,9.15544768005489,29.0,58.0,3.0,10.400000000000034,6148.358622463024,58712.50000000001,3.0
22,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.12866839377105413,298.6,298.9,-0.0999999999999659,309.22,0.06324555320447693,309.1,309.3,0.0,1514.2,232.72864504014603,1306.0,2035.0,75.0,41.58,10.835722813402386,19.6,54.5,2.0999999999999943,47.0,9.439868172337546,34.0,63.0,5.0,10.5,6802.595292573098,64959.99999999999,5.0
23,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.13498971154238304,298.6,298.9,0.0999999999999659,309.23999999999995,0.051639777950837615,309.2,309.3,0.0,1538.4,224.93811494621278,1306.0,2035.0,131.0,39.540000000000006,10.764365079072505,19.6,54.5,-14.099999999999998,50.1,9.780365819106967,37.0,65.0,2.0,10.400000000000034,5082.7513383163905,48536.7,2.0
