class,feature,mean_absolute_shap
0,numerical__Rotational_speed_rpm,2.4548547099619897
2,numerical__Rotational_speed_rpm,1.0890797793235594
1,numerical__Rotational_speed_rpm,0.5072182333701918
2,numerical__torque_speed_ratio,0.3404271445999454
0,numerical__torque_speed_ratio,0.2861120227689443
2,numerical__temperature_difference,0.17278547931197216
2,numerical__Rotational_speed_rpm_rolling_max,0.1323750882161184
2,numerical__Rotational_speed_rpm_rolling_min,0.12281414119046774
2,numerical__Air_temperature_K_rolling_std,0.12004363195033323
2,numerical__load_signal,0.11901797805401673
2,numerical__Torque_Nm_rolling_max,0.11835413081977031
2,numerical__Process_temperature_K_rolling_std,0.11426402538929366
1,numerical__Torque_Nm_rolling_min,0.09752105932638017
0,numerical__Rotational_speed_rpm_rolling_min,0.09670907611519591
2,numerical__Torque_Nm_rolling_min,0.0956628131803551
0,numerical__Torque_Nm_rolling_max,0.09558923803991701
2,numerical__power_consumption,0.0909075386806171
1,numerical__Torque_Nm_rolling_max,0.08936592656741307
2,numerical__Torque_Nm,0.0883609274583431
0,numerical__Process_temperature_K_rolling_min,0.0882315426332746
0,numerical__Torque_Nm_rolling_min,0.0863080642176091
2,numerical__Torque_Nm_rolling_std,0.08163679019510121
2,numerical__Rotational_speed_rpm_change,0.07548855761754071
2,numerical__Process_temperature_K_rolling_mean,0.07332485085484713
2,numerical__Air_temperature_K_rolling_mean,0.07255963895332401
2,numerical__humidity,0.07190164036762015
0,numerical__Air_temperature_K_rolling_mean,0.0709081950342357
0,numerical__Air_temperature_K_rolling_std,0.0699085749720749
2,numerical__Type_L,0.06514294975419982
0,numerical__Rotational_speed_rpm_rolling_max,0.06488341296241465
0,numerical__Process_temperature_K_rolling_mean,0.06271793437046268
2,numerical__Rotational_speed_rpm_rolling_mean,0.06254711625257
1,numerical__temperature_difference,0.06069868826670195
2,numerical__Rotational_speed_rpm_rolling_std,0.05904124375882667
0,numerical__temperature_difference,0.05900019701202235
1,numerical__Torque_Nm,0.0588609054317922
1,numerical__Rotational_speed_rpm_rolling_max,0.056853386947802245
2,numerical__Torque_Nm_change,0.055776465729692255
0,numerical__Process_temperature_K,0.054403540890894074
1,numerical__Rotational_speed_rpm_rolling_min,0.05266016728598435
0,numerical__Torque_Nm,0.05239855069476743
0,numerical__Process_temperature_K_rolling_std,0.05161534273211151
1,numerical__Process_temperature_K_rolling_min,0.04887950717198272
1,numerical__Air_temperature_K_rolling_mean,0.046530122012283716
1,numerical__Process_temperature_K_rolling_std,0.04597916335876596
2,numerical__Type_M,0.04519536608975057
0,numerical__Process_temperature_K_rolling_max,0.04515370820802144
1,numerical__Process_temperature_K_rolling_mean,0.04498502680961841
2,numerical__temperature_humidity_interaction,0.04463497189068588
1,numerical__Process_temperature_K_rolling_max,0.04252938650479393
2,numerical__Torque_Nm_rolling_mean,0.042428848584619136
0,numerical__Air_temperature_K_rolling_min,0.041943455106995285
0,numerical__Rotational_speed_rpm_rolling_mean,0.04102287892752455
0,numerical__Torque_Nm_change,0.040897167950212705
0,numerical__Air_temperature_K_rolling_max,0.040441891612092995
1,numerical__Torque_Nm_rolling_std,0.03906050573218519
1,numerical__Rotational_speed_rpm_rolling_std,0.03891202922999881
2,numerical__Process_temperature_K_rolling_min,0.03706407341323784
1,numerical__Air_temperature_K_rolling_std,0.03681778038405071
1,numerical__load_density_mean_10,0.036562173749696704
1,numerical__Process_temperature_K,0.03480448258576441
1,numerical__Rotational_speed_rpm_rolling_mean,0.0346919242742304
1,numerical__torque_speed_ratio,0.034644456412781126
0,numerical__Rotational_speed_rpm_rolling_std,0.03451640566839088
2,numerical__Process_temperature_K,0.03352726252610954
0,numerical__Torque_Nm_rolling_mean,0.03311510750147896
1,numerical__Air_temperature_K_rolling_min,0.032925878448396444
2,numerical__Air_temperature_K_rolling_min,0.03130019098571227
1,numerical__Air_temperature_K_rolling_max,0.031291340444209406
0,numerical__Torque_Nm_rolling_std,0.030319110213021874
2,numerical__Air_temperature_K,0.029684588948190652
2,numerical__Air_temperature_K_change,0.029220769760006562
2,numerical__Air_temperature_K_rolling_max,0.02800082925350516
1,numerical__power_consumption,0.02664929214571365
0,numerical__power_consumption,0.02555171010893007
0,numerical__Air_temperature_K,0.025119362343686037
2,numerical__load_density_mean_10,0.025062304651144663
1,numerical__Torque_Nm_rolling_mean,0.02469620405013209
1,numerical__Rotational_speed_rpm_change,0.024150006094834593
2,numerical__Process_temperature_K_rolling_max,0.02389312816155249
1,numerical__Air_temperature_K,0.023632860307460327
2,numerical__maintenance_load_interaction,0.023259784376273428
0,numerical__humidity,0.023048373935276267
2,numerical__Process_temperature_K_change,0.02276528888331577
2,numerical__torque_std_10,0.020116407544095306
2,numerical__load_stress,0.019778886947661386
1,numerical__temperature_humidity_interaction,0.019646062514380044
2,numerical__load_density,0.019226114921713538
1,numerical__load_signal,0.018333137955337763
1,numerical__Torque_Nm_change,0.01763693509798439
1,numerical__humidity,0.017560181922361803
1,numerical__Process_temperature_K_change,0.0166853745243139
0,numerical__load_density_mean_10,0.014443145788111672
0,numerical__rpm_std_10,0.014225762319912343
1,numerical__shift_Morning,0.013987617157674886
2,numerical__shift_Morning,0.013059018191039789
0,numerical__Rotational_speed_rpm_change,0.012573902541434182
1,numerical__rpm_std_10,0.01217600371987436
1,numerical__load_density,0.011046114625818629
2,numerical__ambient_temperature,0.010822278284777307
1,numerical__torque_std_10,0.010797036972370729
0,numerical__load_density,0.010495825441935452
2,numerical__maintenance_due,0.010299130481715718
0,numerical__temperature_humidity_interaction,0.01023080566282273
2,numerical__load_density_interaction,0.010049939428216713
1,numerical__Air_temperature_K_change,0.009466958015190152
0,numerical__ambient_temperature,0.009245395432978191
2,numerical__rpm_std_10,0.008333354883890365
1,numerical__ambient_temperature,0.007922375080126113
0,numerical__load_signal,0.007815818356417344
2,numerical__shift_Night,0.0078042800691363575
1,numerical__maintenance_load_interaction,0.00776011783911292
0,numerical__torque_std_10,0.0067220772702460355
1,numerical__load_stress,0.004803544697716661
0,numerical__Process_temperature_K_change,0.004467140306797929
1,numerical__shift_Night,0.0041690633598405686
1,numerical__Type_L,0.0041147519479846646
0,numerical__load_density_interaction,0.004052449212689641
0,numerical__Type_L,0.002988668694401702
0,numerical__load_stress,0.002647155440031721
1,numerical__load_density_interaction,0.002293467503332903
1,numerical__Type_M,0.0019367701174868553
0,numerical__Air_temperature_K_change,0.0016921351617971403
0,numerical__maintenance_load_interaction,0.0014910412670488158
0,numerical__shift_Night,0.0013040412798604548
0,numerical__shift_Morning,0.0012411315642589609
0,numerical__Type_M,0.0010217175727177273
0,numerical__maintenance_due,0.0002976616425464919
1,numerical__maintenance_due,0.00025072142592583223
0,numerical__ambient_difference,0.0
1,numerical__ambient_difference,0.0
2,numerical__ambient_difference,0.0
