feature,shap_value_for_critical_class,absolute_shap_value
numerical__Rotational_speed_rpm_rolling_max,-0.7753278613218696,0.7753278613218696
numerical__Rotational_speed_rpm,-0.7405089253829338,0.7405089253829338
numerical__load_signal,0.2670104525044214,0.2670104525044214
numerical__Torque_Nm_rolling_mean,0.25798867446260326,0.25798867446260326
numerical__Type_L,-0.14083995467593824,0.14083995467593824
numerical__temperature_humidity_interaction,0.1104410809775097,0.1104410809775097
numerical__Process_temperature_K_rolling_std,-0.11038855120309486,0.11038855120309486
numerical__Torque_Nm_rolling_min,-0.1026583201394467,0.1026583201394467
numerical__torque_speed_ratio,0.0973307941332405,0.0973307941332405
numerical__Type_M,-0.09725047134002653,0.09725047134002653
numerical__Torque_Nm,0.09409930540201357,0.09409930540201357
numerical__Rotational_speed_rpm_rolling_std,0.08581182710166624,0.08581182710166624
numerical__Rotational_speed_rpm_rolling_mean,0.08441623752180659,0.08441623752180659
numerical__Torque_Nm_rolling_max,0.06755943775258555,0.06755943775258555
numerical__load_density_mean_10,0.06543948226301058,0.06543948226301058
numerical__Rotational_speed_rpm_rolling_min,-0.060167644537259375,0.060167644537259375
numerical__torque_std_10,0.05722637772803775,0.05722637772803775
numerical__Air_temperature_K_rolling_mean,-0.05720851111530736,0.05720851111530736
numerical__power_consumption,-0.052502723867604614,0.052502723867604614
numerical__Process_temperature_K,0.05200716663440449,0.05200716663440449
numerical__temperature_difference,-0.042258437731888365,0.042258437731888365
numerical__rpm_std_10,-0.03912449706020799,0.03912449706020799
numerical__humidity,0.032777152760939246,0.032777152760939246
numerical__load_stress,0.030331932167364767,0.030331932167364767
numerical__Rotational_speed_rpm_change,0.026844506358453608,0.026844506358453608
numerical__load_density,0.023028172184185666,0.023028172184185666
numerical__Air_temperature_K_rolling_std,0.02143701955412289,0.02143701955412289
numerical__Air_temperature_K_change,-0.018882863704756465,0.018882863704756465
numerical__Process_temperature_K_rolling_max,-0.0187500832908997,0.0187500832908997
numerical__Air_temperature_K_rolling_min,0.01833375301362175,0.01833375301362175
numerical__Process_temperature_K_rolling_mean,-0.01322926066274245,0.01322926066274245
numerical__Air_temperature_K,0.013097508204761214,0.013097508204761214
numerical__Air_temperature_K_rolling_max,-0.01172409983141295,0.01172409983141295
numerical__Torque_Nm_change,0.009111414288138869,0.009111414288138869
numerical__maintenance_load_interaction,0.007569762997061226,0.007569762997061226
numerical__Torque_Nm_rolling_std,0.007487250081339631,0.007487250081339631
numerical__Process_temperature_K_change,0.007183428215079764,0.007183428215079764
numerical__shift_Morning,0.003838718480475458,0.003838718480475458
numerical__Process_temperature_K_rolling_min,0.002177019817827895,0.002177019817827895
numerical__ambient_temperature,-0.0016946955622504196,0.0016946955622504196
numerical__maintenance_due,0.001161754321106948,0.001161754321106948
numerical__load_density_interaction,-9.15794284239144e-05,9.15794284239144e-05
numerical__shift_Night,-5.010974621888389e-05,5.010974621888389e-05
numerical__ambient_difference,0.0,0.0
