Alert_ID,Inference_Row_ID,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,temperature_difference,power_consumption,load_signal,ambient_temperature,load_density,humidity,maintenance_due,shift_Morning,shift_Night,ambient_difference,load_stress,load_density_interaction,temperature_humidity_interaction,torque_speed_ratio,maintenance_load_interaction,rpm_std_10,torque_std_10,load_density_mean_10,Type_L,Type_M,Machine_Status_Code,Predicted_Status_Code,Critical_Class_Probability,Critical_Alert,Prediction_Status,Probability_Class_0,Probability_Class_1,Probability_Class_2,Alert_Level,Recommended_Action
1,1915,298.0,308.7,1268.0,69.4,298.08,0.1135292424393007,297.9,298.2,0.1000000000000227,308.85,0.2013840995647232,308.5,309.1,0.1999999999999886,1441.7,131.40019448657966,1268.0,1723.0,-115.0,46.73,11.496284423915188,26.6,69.4,24.800000000000004,10.699999999999989,9215.254674725966,87999.20000000001,298.0,0.6940000000000001,37.66700815025918,0.0,0.0,0.0,0.0,87999.20000000001,48.16360000000001,11627.805415985007,0.054731861198695,0.0,131.40019448657966,11.496284423915188,0.4673,1.0,0.0,2,2,0.9976277935420703,True,CRITICAL,0.0018951001180184275,0.00047710633991129636,0.9976277935420703,CRITICAL,Schedule immediate inspection and preventive maintenance
2,1379,302.6,311.0,1284.0,68.0,302.58000000000004,0.0421637021419331,302.5,302.6,0.0,310.99,0.0567646212772419,310.9,311.1,0.0,1432.9,119.68426054507653,1284.0,1660.0,-45.0,49.37,10.893122192976165,35.5,68.0,19.4,8.399999999999977,9143.291259007734,87312.0,302.6,0.68,75.85636410850725,0.0,1.0,0.0,0.0,87312.0,46.24,23591.329237745755,0.0529595015575911,0.0,119.68426054507653,10.893122192976165,0.4937,1.0,0.0,2,2,0.9967750936835028,True,CRITICAL,0.0026310270481889344,0.000593879268308265,0.9967750936835028,CRITICAL,Schedule immediate inspection and preventive maintenance
3,66,298.8,310.1,1243.0,74.5,298.95,0.0707106781125382,298.8,299.0,-0.0999999999999659,310.23,0.0948683298332963,310.1,310.3,0.0,1492.4,183.82914773113544,1243.0,1929.0,-118.0,45.29,13.669711043032326,24.4,74.5,22.8,11.300000000000011,9697.415843223414,92603.5,298.8,0.745,82.25942898797723,0.0,0.0,1.0,0.0,92603.5,55.5025,25508.64892917174,0.059935639581609,0.0,183.82914773113544,13.669711043032326,0.4528999999999999,0.0,1.0,2,2,0.9966015663619048,True,CRITICAL,0.0008168046186575602,0.002581629019437726,0.9966015663619048,CRITICAL,Schedule immediate inspection and preventive maintenance
4,1581,298.7,310.1,1402.0,69.7,298.72,0.0421637022400484,298.7,298.8,0.0,310.1,0.047140452206749,310.0,310.2,0.0,1525.6,98.25047356402176,1380.0,1644.0,-147.0,42.81,11.349248629069765,31.1,69.7,27.200000000000003,11.400000000000034,10233.151638440082,97719.4,298.7,0.6970000000000001,71.36767585379798,0.0,1.0,0.0,0.0,97719.4,48.58090000000001,22131.11628226276,0.0497146932952569,0.0,98.25047356402176,11.349248629069765,0.4281,0.0,1.0,2,2,0.9841023593690058,True,CRITICAL,0.014827969698623194,0.0010696709323709563,0.9841023593690058,CRITICAL,Schedule immediate inspection and preventive maintenance
5,1979,302.8,310.9,1312.0,52.2,302.77,0.0674948557783889,302.7,302.9,0.0,310.8,0.0666666667123845,310.7,310.9,0.0,1513.2,202.2214407799281,1275.0,1977.0,-324.0,42.290000000000006,11.871202316717728,20.0,57.7,17.200000000000003,8.099999999999966,7171.879037027067,68486.40000000001,302.8,0.522,44.19228634446489,0.0,0.0,0.0,0.0,68486.40000000001,27.248400000000004,13739.381824494134,0.0397865853658233,0.0,202.2214407799281,11.871202316717728,0.4229,1.0,0.0,2,2,0.9836916249437186,True,CRITICAL,0.013693586088485086,0.002614788967796186,0.9836916249437186,CRITICAL,Schedule immediate inspection and preventive maintenance
6,65,302.6,310.9,1331.0,52.0,302.63,0.0483045891599373,302.6,302.7,0.0,311.01,0.0567646212778062,310.9,311.1,-0.1000000000000227,1591.2,190.0185955812369,1331.0,2001.0,-279.0,36.6,8.652552609875743,20.7,52.0,12.799999999999995,8.299999999999955,7247.863691341891,69212.0,302.6,0.52,60.00740415821997,0.0,0.0,0.0,0.0,69212.0,27.04,18656.30195279059,0.0390683696468526,0.0,190.0185955812369,8.652552609875743,0.366,1.0,0.0,2,2,0.9832774567571712,True,CRITICAL,0.0050628040972030205,0.011659739145625792,0.9832774567571712,CRITICAL,Schedule immediate inspection and preventive maintenance
7,965,302.4,310.2,1351.0,45.1,302.43999999999994,0.0516397779550384,302.4,302.5,0.0,310.36,0.1264911064246621,310.2,310.5,0.0,1475.6,94.31177609986068,1351.0,1633.0,-152.0,40.64,6.756757933933846,28.0,52.5,8.899999999999999,7.800000000000011,6380.585151416381,60930.1,302.4,0.451,65.5765797307387,0.0,0.0,0.0,0.0,60930.1,20.3401,20341.855032475145,0.0333826794966444,0.0,94.31177609986068,6.756757933933846,0.4064,1.0,0.0,2,2,0.9822867893738951,True,CRITICAL,0.005346252437339767,0.012366958188765051,0.9822867893738951,CRITICAL,Schedule immediate inspection and preventive maintenance
8,1173,300.7,310.9,1356.0,65.3,300.73,0.0483045892009015,300.7,300.8,0.0,310.84000000000003,0.0699205899490559,310.7,310.9,0.0,1509.8,137.50700992231816,1356.0,1814.0,-13.0,40.92,11.787450954298832,21.4,65.3,14.099999999999994,10.199999999999989,9272.599212629488,88546.8,300.7,0.653,75.45092711333487,0.0,1.0,0.0,0.0,88546.8,42.6409,23457.69323953581,0.0481563421828553,0.0,137.50700992231816,11.787450954298832,0.4091999999999999,1.0,0.0,2,2,0.9822077547720792,True,CRITICAL,0.015263562181927717,0.002528683045993106,0.9822077547720792,CRITICAL,Schedule immediate inspection and preventive maintenance
9,627,302.7,310.6,1349.0,51.2,302.61,0.0737864787425557,302.5,302.7,0.0,310.52000000000004,0.0632455532437286,310.4,310.6,0.0,1567.0,158.80945955591875,1349.0,1880.0,-341.0,37.64,10.2907941600464,22.7,53.6,24.500000000000004,7.900000000000034,7232.867822408758,69068.8,302.7,0.512,59.92846084817776,0.0,0.0,0.0,0.0,69068.8,26.2144,18613.77993944401,0.0379540400296234,0.0,158.80945955591875,10.2907941600464,0.3763999999999999,0.0,1.0,2,2,0.9804238511635076,True,CRITICAL,0.0120748891834786,0.007501259653013871,0.9804238511635076,CRITICAL,Schedule immediate inspection and preventive maintenance
10,578,302.0,310.4,1357.0,58.0,301.98,0.0632455532058656,301.9,302.1,0.0,310.58,0.091893658375941,310.4,310.7,-0.1000000000000227,1519.2,201.3652292615457,1294.0,1978.0,-621.0,44.97,14.227598376238864,22.0,68.6,36.0,8.399999999999977,8242.073046447942,78706.0,302.0,0.58,44.35893044942451,0.0,0.0,0.0,0.0,78706.0,33.64,13769.012011501369,0.0427413411937783,0.0,201.3652292615457,14.227598376238864,0.4497,1.0,0.0,2,2,0.980329217129817,True,CRITICAL,0.014197903460118481,0.005472879410064515,0.980329217129817,CRITICAL,Schedule immediate inspection and preventive maintenance
