Model,Class,precision,recall,f1-score,support
Logistic_Regression,Healthy,0.6884681583476764,0.7928642220019821,0.7369875633348687,1009.0
Logistic_Regression,Warning,0.7068645640074211,0.44148319814600234,0.543509272467903,863.0
Logistic_Regression,Critical,0.23745819397993312,0.5546875,0.3325526932084309,128.0
Logistic_Regression,macro avg,0.5442636387783436,0.5963449733826615,0.5376831763370675,2000.0
Logistic_Regression,weighted avg,0.6675415696703206,0.626,0.627617849137681,2000.0
Decision_Tree,Healthy,0.7828282828282829,0.7680872150644202,0.7753876938469234,1009.0
Decision_Tree,Warning,0.6980482204362801,0.7045191193511008,0.7012687427912342,863.0
Decision_Tree,Critical,0.38848920863309355,0.421875,0.4044943820224719,128.0
Decision_Tree,macro avg,0.6231219039658855,0.6314937781385069,0.6270502728868764,2000.0
Decision_Tree,weighted avg,0.7210079851576415,0.7185,0.7196681945096286,2000.0
Random_Forest,Healthy,0.7382962394474291,0.9534192269573836,0.8321799307958477,1009.0
Random_Forest,Warning,0.8737373737373737,0.6013904982618772,0.7124227865477007,863.0
Random_Forest,Critical,0.5728155339805825,0.4609375,0.5108225108225108,128.0
Random_Forest,macro avg,0.7282830490551285,0.6719157417397535,0.6851417427220197,2000.0
Random_Forest,weighted avg,0.786148323743662,0.77,0.7599378481744787,2000.0
LightGBM,Healthy,0.8003355704697986,0.9454905847373637,0.8668786915038619,1009.0
LightGBM,Warning,0.8755555555555555,0.6848203939745076,0.7685305591677504,863.0
LightGBM,Critical,0.5338345864661654,0.5546875,0.5440613026819924,128.0
LightGBM,macro avg,0.7365752374971732,0.7283328262372905,0.7264901844512015,2000.0
LightGBM,weighted avg,0.8157369310580701,0.808,0.8037811595162301,2000.0
XGBoost,Healthy,0.7507598784194529,0.979187314172448,0.8498924731182795,1009.0
XGBoost,Warning,0.8833063209076175,0.6315179606025493,0.7364864864864865,863.0
XGBoost,Critical,0.7164179104477612,0.375,0.49230769230769234,128.0
XGBoost,macro avg,0.7834947032582772,0.6619017582583324,0.6928955506374862,2000.0
XGBoost,weighted avg,0.8057557824029077,0.7905,0.7780723639147833,2000.0
