Feature,Mutual_Information
Rotational_speed_rpm,0.25223612508217386
Torque_Nm,0.19995627206625444
Rotational_speed_rpm_change,0.10466358581605828
Torque_Nm_change,0.05653848907545789
Torque_Nm_rolling_max,0.05447988611283239
Rotational_speed_rpm_rolling_min,0.04262320749170101
Air_temperature_K,0.019219762452750144
temperature_difference,0.014062956625911172
Rotational_speed_rpm_rolling_std,0.012750412512311016
shift_Night,0.01040406116216741
ambient_difference,0.009909499096972363
Process_temperature_K_rolling_std,0.008276872515897482
Torque_Nm_rolling_mean,0.008096181876581676
Torque_Nm_rolling_std,0.007661223901763492
Rotational_speed_rpm_rolling_mean,0.006844431971485543
humidity,0.005652662713971246
Air_temperature_K_change,0.005565252300104184
Air_temperature_K_rolling_std,0.004121882536403554
Type_L,0.002252130990768597
Process_temperature_K_change,0.0004576063853065637
Process_temperature_K,0.00027887834167072967
maintenance_due,0.0
shift_Morning,0.0
Type_M,0.0
